zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag,Publisher,twitch_id
QY5AIEK7,,,2022-04-07,tvBroadcast,"2022, le compte à rebours: Dupont-Aignan","Dupont-Aignan, Nicolas","2022, le compte à rebours",https://www.france.tv/france-2/2022-le-compte-a-rebours/3248788-emission-du-mardi-29-mars-2022.html,#JT20h|#CompteARebours2022|#LeCompteARebours2022|#2022NDA|#ChoisirLaLiberté,France 2,
68MXH5T6,,,2022-04-06,tvBroadcast,"2022, le compte à rebours: Roussel","Roussel, Fabien","2022, le compte à rebours",https://www.france.tv/france-2/2022-le-compte-a-rebours/3248788-emission-du-mardi-29-mars-2022.html,#JT20h|#CompteARebours2022|#LeCompteARebours2022|#Roussel|#Roussel2022|#LesJoursHeureux,France 2,
CUUJUFDI,,,2022-03-30,tvBroadcast,"2022, le compte à rebours: Pécresse, Lassalle","Pécresse, Valérie; Lassalle, Jean","2022, le compte à rebours",https://www.youtube.com/watch?v=PfSnN5oGW74 (Pécresse),#CompteARebours2022|#lecomptearebours2022|#LaFranceAuthentique|#JeanLassalle2022|#Pécresse2022 #Pécresse2022 #jeanlassalle2022,France 2,
WDE8SWS6,,,2022-04-04,tvBroadcast,"2022, le compte à rebours: Hidalgo","Hidalgo, Anne","2022, le compte à rebours",https://www.youtube.com/watch?v=-jpsTmZXpc0,#CompteARebours2022|#LeCompteARebours2022|#Hidalgo|#Hidalgo2022|#JT20h,France 2,
MIGGNH5L,,,2022-01-25,tvBroadcast,"2022, le compte à rebours:  Hidalgo","Hidalgo, Anne","2022, le compte à rebours",https://www.youtube.com/watch?v=Toi5qFRLi90,#20h22|#Le20h|#JT20H,France 2,
4QQF6UTB,,,2022-04-06,tvBroadcast,"2022, le compte à rebours: Mélenchon","Mélenchon, Jean-Luc","2022, le compte à rebours",https://www.youtube.com/watch?v=ALadzR2-jMA,#MélenchonFrance2|#UnionPopulaire|#Mélenchon2022|#JT20h|#CompteARebours2022|#LeCompteARebours2022,France 2,
Z3TXECYY,,,2022-02-07,tvBroadcast,"2022, le compte à rebours: Le Pen","Le Pen, Marine","2022, le compte à rebours",,#20h22|#Le20h|#JT20H,France 2,
8S56XA7Z,,,2022-02-15,tvBroadcast,"2022, le compte à rebours: Pécresse","Pécresse, Valérie","2022, le compte à rebours",https://www.youtube.com/watch?v=4WW3YziSJfY,#20h22|#Le20h|#JT20H|#Pécresse|#Pécresse2022,France 2,
B6K5MJ38,,,2022-02-01,tvBroadcast,"2022, le compte à rebours: Zemmour","Zemmour, Eric","2022, le compte à rebours",https://www.youtube.com/watch?v=t0u4WSdjxJU,#CompteARebours2022|#lecomptearebours2022|#JT20H|#ZoZZ|#ZemmourPresident|#Besancenot|#Zemmour2022|#ZemmourFrance2,France 2,
5GYXHTWY,,,2022-02-20,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Poutou,"Poutou, Philippe",L'interview face cachée (Présidentielle 2022),https://youtu.be/GSUmEZPmNPg,,Youtube [HugoDécrypte],
BUGZ5HAE,,,2022-02-27,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Le Pen,"Le Pen, Marine",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=CMpqrm78vl4,,Youtube [HugoDécrypte],
SNZCN2ZC,,,2022-03-03,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Jadot,"Jadot, Yannick",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=sp0nSHxeNIk,,Youtube [HugoDécrypte],
PDT9FN9Y,,,2022-03-10,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Hidalgo,"Hidalgo, Anne",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=89gh4O4Jh9c,,Youtube [HugoDécrypte],
C2GE5X43,,,2022-03-06,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'interview face cachée (Présidentielle 2022),https://youtu.be/GSUmEZPmNPgNicolas Dupont-Aignan : L'interview face cachée (Présidentielle 2022) - YouTube,,Youtube [HugoDécrypte],
AXGM2C5T,,,2022-03-13,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Mélenchon,"Mélenchon, Jean-Luc",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=RkH3QjL7O80,,Youtube [HugoDécrypte],
AZ2YHLWD,,,2022-03-17,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Lassalle,"Lassalle, Jean",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=fPgHWkXM7ZU,,Youtube [HugoDécrypte],
