zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag,Publisher,twitch_id
GCXSJK57,,,2022-04-13,tvBroadcast,Le JT de 20h : Macron,"Macron, Emmanuel",Le JT de 20h,,#JT20h #NousTous|#AvecVous|#Macron|#MacronTF1,TF1,
NAWKZNR9,,,2022-03-09,tvBroadcast,Les 4V : Le Pen,"Le Pen, Marine",Les 4V,,#Les4V #MarinePresidente #Mlafrance #Lepen,France 2,
IZ9VHRBG,,,2022-03-10,radioBroadcast,Les Grandes Gueules : Mélenchon,"Mélenchon, Jean-Luc",Les Grandes Gueules,,#GGRMC #UnionPopulaire #Melenchon2022,RMC,
MT24BFDY,,,2022-02-22,tvBroadcast,Live Instagram TF1 et 20 mn : Zemmour,"Zemmour, Eric",Live Instagram TF1 et 20 mn,,,Instagram,
ZFRLUK4B,,,2022-03-21,radioBroadcast,Ma France : Lassalle,"Lassalle, Jean",Ma France,,#JeanLassalle2022|#laFranceAuthentique|#MaFrance,France Bleu,
SQTV6T78,,,2022-03-22,radioBroadcast,Ma France : Macron,"Macron, Emmanuel",Ma France,,"#MaFrance|#MacronFranceBleu,|#MacronDegage2022,|#ScandaleMacron,|#Macron2022,|#5ansdeplus,|#avecvous,|#StopMacron",France Bleu,
LXKRLL2F,,,2022-03-23,radioBroadcast,"Ma France : (multiple) Poutou, Arthaud","Poutou, Philippe; Arthaud, Nathalie",Ma France,,#MaFrance|#Poutou,France Bleu,
X9SB2QCS,,,2022-03-24,radioBroadcast,Ma France : Zemmour,"Zemmour, Eric",Ma France,,#Zemmour2022|#MaFrance|#ZOZZ|#ZemmourPresident,France Bleu,
ZZND25A5,,,2022-03-25,radioBroadcast,Ma France : Mélenchon,"Mélenchon, Jean-Luc",Ma France,,#MaFrance|#Melenchon2022|#UnionPopulaire|,France Bleu,
PGNZ6UNU,,,2022-04-14,radioBroadcast,Ma France : Macron,"Macron, Emmanuel",Ma France,,#MacronFranceBleu|#AvecVous|#JeVoteMacron|#NousTous|#Macron,France Bleu,
MZ924EF6,,,2022-04-18,radioBroadcast,Ma France : Le Pen,"Le Pen, Marine",Ma France,,#MarinePrésidente|#MaFrance|#MLP2022|#MLaFrance|#DimancheJeVoteMarine,France Bleu,
NET2FKN4,,,2022-01-16,tvBroadcast,Partie de campagne : Le Pen,"Le Pen, Marine",Partie de campagne,,#PartieDeCampagne (spécifique) #Le20h (partagé),TF1,
XSECEP8I,,,2022-01-23,tvBroadcast,Partie de campagne : Pécresse,"Pécresse, Valérie",Partie de campagne,,#PartieDeCampagne (spécifique) #Le20h (partagé),TF1,
VTHVPGB4,,,2022-01-30,tvBroadcast,Partie de campagne : Jadot,"Jadot, Yannick",Partie de campagne,,#PartieDeCampagne (spécifique) #Le20h (partagé),TF1,
RU5TQCVE,,,2022-02-06,tvBroadcast,Partie de campagne : Mélenchon,"Mélenchon, Jean-Luc",Partie de campagne,,#PartieDeCampagne (spécifique) #Le20h (partagé),TF1,
IJEVHLIA,,,2022-02-13,tvBroadcast,Partie de campagne : Zemmour,"Zemmour, Eric",Partie de campagne,,#PartieDeCampagne (spécifique) #Le20h (partagé) #Zemmour #ZOZZ #Zemmour2022 #ZemmourTF1 #DebatZemmourMacron,TF1,
L3LTBYD5,,,2022-03-20,tvBroadcast,Partie de campagne : Pécresse,"Pécresse, Valérie",Partie de campagne,,#Partiedecampagne|#20h|#Pecresse2022|#ValeriePecresse,TF1,
HNBSN7RC,,,2022-03-28,tvBroadcast,Questions de Confiance : Pécresse,"Pécresse, Valérie",Questions de Confiance,,#Pécresse2022|#QuestionsDeConfiance|#Pécresse,RMC/BFMTV,
7RNE2FVG,,,2022-03-29,tvBroadcast,Questions de Confiance : Arthaud,"Arthaud, Nathalie",Questions de Confiance,,#QuestionsDeConfiance|#Arthaud,RMC/BFMTV,
8YJBBJQK,,,2022-03-30,tvBroadcast,Questions de Confiance : Zemmour,"Zemmour, Eric",Questions de Confiance,,#QuestionsDeConfiance|#ZoZZ|#ZemmourPresident|#Zemmour2022|#ZemmourBFM|#ZemmourSevran,RMC/BFMTV,
E5G69YU3,,,2022-03-31,tvBroadcast,Questions de Confiance : Dupont-Aignan,"Dupont-Aignan, Nicolas",Questions de Confiance,,#QuestionsDeConfiance|#2022NDA|#ChoisirLaLiberté|#ApollineMatin,RMC/BFMTV,
HXGA6IFZ,,,2022-04-01,tvBroadcast,Questions de Confiance : Lassalle,"Lassalle, Jean",Questions de Confiance,,#ApollineMatin|#QuestionsDeConfiance|#JeanLassalle2022|#TourBusJL2022|#LaFranceAuthentique,RMC/BFMTV,
7WQQT5ZG,,,2022-04-02,tvBroadcast,Questions de Confiance : Poutou,"Poutou, Philippe",Questions de Confiance,,#QuestionsDeConfiance|#Poutou|#Poutou2022|,RMC/BFMTV,
TF69CVSG,,,2022-04-04,tvBroadcast,Questions de Confiance : Le Pen,"Le Pen, Marine",Questions de Confiance,,#ApollineMatin|#ApollineWakeUp|#QuestionsDeConfiance|#MarinePresidente|#MLaFrance|#MLP2022,RMC/BFMTV,
SDQAD64J,,,2022-04-05,tvBroadcast,Questions de Confiance : Jadot,"Jadot, Yannick",Questions de Confiance,,#FaireFace|#ApollineMatin|#ApollineWakeUp|#QuestionsDeConfiance|#Jadot2022|#JeVoteJadot,RMC/BFMTV,
7LBRR9IT,,,2022-04-06,tvBroadcast,Questions de Confiance : Hidalgo,"Hidalgo, Anne",Questions de Confiance,,#QuestionsDeConfiance|#ApollineMatin|#ApollineWakeUp|#Hidalgo|#Hidalgo2022,RMC/BFMTV,
E3NIGL76,,,2022-04-07,tvBroadcast,Questions de Confiance : Roussel,"Roussel, Fabien",Questions de Confiance,,#ApollineMatin|#ApollineWakeUp|#QuestionsDeConfiance|#Roussel|#Roussel2022|#LesJoursHeureux,RMC/BFMTV,
35BP7TJZ,,,2022-04-08,tvBroadcast,Questions de Confiance : Mélenchon,"Mélenchon, Jean-Luc",Questions de Confiance,,#ApollineMatin|#ApollineWakeUp|#QuestionsDeConfiance|#Mélenchon2022|#UnionPopulaire,RMC/BFMTV,
CVABTX3S,,,2022-02-20,radioBroadcast,Questions politiques : Le Pen,"Le Pen, Marine",Questions politiques,,#QuestionsPol #MarinePresidente #LePen #MLaFrance,France Inter/France Info,
HPKN6GGH,,,2022-04-12,radioBroadcast,Un candidat face au 7/9 : Le Pen,"Le Pen, Marine",Un candidat face au 7/9,,#le79Inter|#Elysée2022|#Présidentielle2022|#MLaFrance|#MarinePresidente|#MLP2022,France Inter,
ULUXNEHX,,,2022-04-22,radioBroadcast,Un candidat face au 7/9 : Macron,"Macron, Emmanuel",Un candidat face au 7/9,,,France Inter,
UE47TU36,,,2022-04-15,tvBroadcast,Une Heure pour l'Elysée : Le Pen,"Le Pen, Marine",Une Heure pour l'Elysée,,#MarinePrésidente|#MLP2022|#MLaFrance|#DimancheJeVoteMarine|#ApollineMatin|#ApollineWakeUp|#UneHeurePourlElysée,RMC/BFMTV,
